"long","lat","name","class","has_nature","has_garden","has_biking","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.98090739,39.7704627,"Unnamed 34th & Arkins","Undeveloped",FALSE,FALSE,FALSE,91655.2675580057,"80310016001",26,"Five Points"
-104.98138021,39.73178373,"Quality Hill Park","Pocket",FALSE,FALSE,FALSE,12257.4665306187,"80310027023",9,"Capitol Hill"
-104.98162257,39.72788859,"Governors Park","Neighborhood",FALSE,FALSE,TRUE,86022.146290865,"80310027025",9,"Capitol Hill"
-104.98217067,39.7837669,"Argo Park","Neighborhood",FALSE,FALSE,FALSE,524248.401246541,"80310015002",29,"Globeville"
-104.98222868,39.75460091,"Stout Street Children's Park","Pocket",FALSE,FALSE,FALSE,9531.27455847732,"80310024033",26,"Five Points"
-104.98228625,39.74797401,"Benedict Fountain Park","Neighborhood",FALSE,FALSE,FALSE,126671.149355081,"80310024032",26,"Five Points"
-104.98268713,39.75185879,"Lawson (Sonny) Park","Neighborhood",FALSE,FALSE,FALSE,108128.104883846,"80310024033",26,"Five Points"
-104.98327388,39.77814605,"Globeville Recreation Center","Recreation Center",FALSE,FALSE,FALSE,9238.95492793148,"80310015003",29,"Globeville"
-104.98340258,39.68848321,"Platt (James H) Park","Neighborhood",FALSE,FALSE,FALSE,162166.476779227,"80310030011",51,"Platt Park"
-104.98389765,39.67281416,"Rosedale Park","Neighborhood",TRUE,TRUE,TRUE,554988.038513617,"80310030023",53,"Rosedale"
-104.98462429,39.67037173,"City of Kunming Park","Neighborhood",FALSE,FALSE,FALSE,157821.004680766,"80310030023",53,"Rosedale"
-104.98650793,39.72704633,"Zeckendorf Plaza Park","Pocket",FALSE,FALSE,FALSE,14859.4622225062,"80310028013",59,"Speer"
-104.98723225,39.78853307,"Unnamed 51st & Broadway","Neighborhood",FALSE,FALSE,FALSE,55558.2567552451,"80310015001",29,"Globeville"
-104.98737056,39.75365865,"Broadway Triangles","Pocket",FALSE,FALSE,FALSE,16214.5462760495,"80310016003",26,"Five Points"
-104.98766365,39.7550742,"Maestas (Eddie) Park","Special Use",FALSE,TRUE,FALSE,16114.1656398659,"80310016002",26,"Five Points"
-104.9876854,39.74036457,"Pioneer Monument Park","Pocket",FALSE,FALSE,FALSE,12949.5742321133,"80310017022",10,"CBD"
-104.98881275,39.73908209,"Civic Center Park","Regional",FALSE,FALSE,FALSE,461936.149433616,"80310020001",16,"Civic Center"
-104.98952145,39.74054014,"MacIntosh (Kenneth M) Park","Pocket",FALSE,FALSE,TRUE,14168.0211522541,"80310017022",10,"CBD"
-104.99000668,39.75130533,"20th St Rec Center","Recreation Center",FALSE,FALSE,FALSE,12542.5230706656,"80310016002",26,"Five Points"
-104.99270822,39.70133589,"Vanderbilt East Park","Undeveloped",FALSE,FALSE,FALSE,152631.919443607,"80310021003",3,"Baker"
-104.99270822,39.73069781,"Sunken Gardens Park","Neighborhood",FALSE,FALSE,TRUE,484101.576212173,"80310018002",41,"Lincoln Park"
-104.99308687,39.71613873,"Dailey Park","Neighborhood",FALSE,FALSE,TRUE,115921.039341075,"80310021003",3,"Baker"
-104.99433304,39.71555611,"La Familia Recreation Center","Recreation Center",FALSE,FALSE,FALSE,37073.0696215152,"80310021003",3,"Baker"
-104.99497669,39.69042043,"Aqua Golf at Overland","Golf",FALSE,FALSE,FALSE,614111.21257248,"80310014031",50,"Overland"
-104.99521203,39.74856259,"Skyline Park","Special Use",FALSE,FALSE,FALSE,111433.487577591,"80310017021",10,"CBD"
-104.99552945,39.70055239,"Vanderbilt Park","Community",TRUE,FALSE,TRUE,1063149.09399306,"80310013022",1,"Athmar Park"
-104.9960523,39.72278504,"Flores (Hector M) Park","Pocket",FALSE,FALSE,FALSE,15652.87509184,"80310021005",3,"Baker"
-104.99668448,39.68527682,"Overland Municipal Golf Course","Golf",FALSE,FALSE,FALSE,6054939.1133913,"80310014031",50,"Overland"
-104.9969857,39.67397333,"Grant Frontier Park","Neighborhood",TRUE,FALSE,TRUE,386336.855244046,"80310014032",50,"Overland"
-104.99775139,39.67958681,"Pasquinel's Landing","Neighborhood",TRUE,FALSE,TRUE,147313.829607964,"80310014031",50,"Overland"
-104.99783392,39.68985572,"Overland Pond Park","Open Space",TRUE,FALSE,TRUE,369958.298411022,"80310014031",50,"Overland"
-104.99786801,39.67376786,"Frontier West","Neighborhood",FALSE,FALSE,TRUE,121407.557284998,"80310014032",50,"Overland"
-104.99827405,39.70567174,"Johnson-Habitat Park","Community",TRUE,FALSE,FALSE,334505.841853397,"80310013022",1,"Athmar Park"
-104.99932806,39.74342506,"Sculpture Park","Special Use",FALSE,FALSE,FALSE,110110.078735364,"80310017022",10,"CBD"
-105.00018199,39.7464265,"Creekfront Park","Pocket",FALSE,FALSE,TRUE,33229.2702092553,"80310017015",63,"Union Station"
-105.00039375,39.7626276,"City of Cuernavaca Park","Community",TRUE,FALSE,TRUE,1077922.13041295,"80310011021",36,"Highland"
-105.00128931,39.75820761,"Railyard Dog Park","Special Use",FALSE,FALSE,FALSE,33485.7833324971,"80310017011",63,"Union Station"
-105.00145374,39.76841421,"Franco (Bernabe Indio) Park","Pocket",FALSE,FALSE,FALSE,25214.7551979167,"80310011021",36,"Highland"
-105.00264438,39.77241127,"Ciancio Park","Neighborhood",FALSE,FALSE,FALSE,173051.576015452,"80310011011",62,"Sunnyside"
-105.0026841,39.70443418,"Aspgren (Clifford) Park","Neighborhood",FALSE,FALSE,FALSE,160175.823048602,"80310013021",1,"Athmar Park"
-105.00272548,39.75958824,"Denver Skate Park","Special Use",FALSE,FALSE,FALSE,83308.8603716516,"80310017011",63,"Union Station"
-105.00282139,39.71376266,"Valverde Park","Athletic Complex",FALSE,FALSE,TRUE,252310.646830484,"80310010001",67,"Valverde"
-105.00390376,39.6860143,"Ruby Hill Park","Regional",TRUE,FALSE,TRUE,3565914.87328342,"80310014021",54,"Ruby Hill"
-105.00406227,39.73526876,"La Alma / Lincoln Park","Community",FALSE,FALSE,FALSE,654501.190302946,"80310019011",41,"Lincoln Park"
-105.00410282,39.75008749,"Downtown Playground","Pocket",FALSE,FALSE,FALSE,35494.0846680641,"80310019021",2,"Auraria"
-105.00474827,39.77756473,"Aztlan Park","Neighborhood",FALSE,FALSE,FALSE,160506.891753511,"80310002021",62,"Sunnyside"
-105.00482321,39.76990836,"Columbus Park","Neighborhood",FALSE,FALSE,FALSE,99845.4376428264,"80310011013",62,"Sunnyside"
-105.0048538,39.76270257,"Community Plaza Park","Pocket",FALSE,FALSE,FALSE,41409.0008658856,"80310011023",36,"Highland"
-105.00525407,39.75672382,"Commons Park","Community",TRUE,FALSE,TRUE,766238.484914001,"80310017011",63,"Union Station"
-105.00597948,39.75156212,"Speer Blvd Park","Neighborhood",FALSE,FALSE,FALSE,153706.349192526,"80310019021",2,"Auraria"
-105.00612202,39.7634593,"St. Patrick's Neighborhood Park","Pocket",FALSE,FALSE,FALSE,12351.518148086,"80310011023",36,"Highland"
