"lat","lon","lat_lon","blockID","driving_morning","transit_morning","kilometers"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310028032",42.15,NA,"53.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310028032",40.3166666666667,NA,"54.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310028032",39.0333333333333,NA,"47.6 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310028032",32.85,NA,"43.9 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310028033",21.05,59.6666666666667,"10.9 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310028033",8.58333333333333,31.05,"3.7 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310028033",41.9,NA,"53.1 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310028033",40.05,NA,"54.7 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310028033",38.7833333333333,NA,"47.4 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310028033",32.6,NA,"43.7 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310028034",19.2333333333333,49.9666666666667,"10.4 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310028034",6.76666666666667,25.3666666666667,"3.2 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310028034",41.8666666666667,NA,"48.8 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310028034",40.0333333333333,NA,"50.5 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310028034",38.75,NA,"43.1 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310028034",32.5666666666667,NA,"39.4 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310029011",19.6166666666667,64.8,"22.2 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310029011",9.63333333333333,39.3333333333333,"4.5 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310029011",39.4666666666667,NA,"52.2 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310029011",37.6333333333333,NA,"53.9 km"
